Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Authorization Number,Authorization Issue Date,Expiration Date,Georeference
Star Scrap Iron & Metals,718 Irish Settlement Road,,Ogdensburg,NY,13669,St. Lawrence,6,3153934330,Roland LaFave,Private,Vehicle Dismantling Facility,[7086670],Yes,466898,4945845,,,,,,"718 Irish Settlement Road
Ogdensburg, NY 13669
(44.66504, -75.41768)"
Afton Septic Service,Dale Growver Farm,State Route 41 and Ives Road,Afton,NY,13730,Chenango,7,6076391053,Jason & Lisa Page,Private,Land application - septage - registration,[09A40004],Yes,456249,4673290,1 - No accuracy stated,Septage,09A40004,04/16/2025,04/16/2030,
Spafford Transfer Station & Recycling Center,Stanton Rd,,Skaneateles,NY,13152,Onondaga,7,3156733906,Town of Spafford,Municipal,Transfer facility - less than 50 tpd - registration,[34T10062],Yes,394486,4743676,,MSW (Residential/Institutional & Commercial),34T10062,05/15/2023,05/14/2028,
180 Flood Drive Properties,180 Flood Drive,,Fulton,NY,13069,Oswego,7,3155924251,Richard O. Murtaugh,Private,Vehicle Dismantling Facility,[7061461],Yes,387584,4800119,,,,,,"180 Flood Drive
Fulton, NY 13069
(43.34527, -76.38731)"
Old Reservoir Site,Reservoir Hill Road,,Candor,NY,13743,Tioga,7,6076597966,Village of Candor,Municipal,Landfill - land clearing debris,[54D02],Yes,390900,4674200,1 - No accuracy stated,Tree Debris;Leaves & Grass,54D02,04/19/2012,,
Prentice Auto Parts,1875 Lewiston Road,,Basom,NY,14013,Genesee,8,5858134620,Ronald Swimline,Private,VDF - small - registration,[19V20019],Yes,226903,4777073,,,,,,"1875 Lewiston Road
Basom, NY 14013
(43.0963, -78.35654)"
Lima Transfer and Hauling,9639 Evergreen St,,Lima,NY,14485,Livingston,8,7163417096,Shanks Enterprises,Private,RHRF - greater than 5 tpd - registration,[26RP0019],Yes,287353,4753065,1 - No accuracy stated,Single Stream;Paperboard/Boxboard,26RP0019,08/10/2023,08/10/2028,
Hakes C&D Disposal Inc,4376 Manning Ridge Road,,Painted Post,NY,14870,Steuben,8,6079376044,Russell Anderson,Private,Landfill - C&DD - permit,[51LC0300],Yes,325746,4675038,4.1 - Address Matching,Construction & Demolition Debris,8-6430-00010/00001,12/19/2019,11/10/2023,"4376 Manning Ridge Road
Painted Post, NY 14870
(42.21585, -77.11039)"
Carrier Salvage & Recycling Inc,2440 Wetmore Road,,Branchport,NY,14418,Yates,8,3155646800,Shelley Carrier,,VDF - small - registration,[62V20020],Yes,314091,4716951,1.1 - Obtained from original submission and unverified process,End of Life Vehicles VDFs,62V20020,10/22/2019,10/21/2024,"2440 Wetmore Road
Branchport, NY 14418
(42.5832, -77.26495)"
Alfred - Almond Recycling Center and Transfer Station,394 Satterlee Hill Road,,Almond,NY,14804,Allegany,9,5852685415,Allegany County Department of Public Works,County,Transfer facility - less than 50 tpd - registration,[02T10013],Yes,273601,4685629,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial),02T10013,10/07/2024,10/07/2029,"394 Satterlee Hill Road
Almond, NY 14804
(42.28863, -77.74646)"
AIM Recycling Erie; LLC,267 Marilla Street,,Buffalo,NY,14220,Erie,9,2162660518,AIM Recycling Erie; LLC,Private,VDF - small - registration,[15V20051],Yes,186941,4749841,1 - No accuracy stated,End of Life Vehicles VDFs,15V20051,12/21/2021,12/21/2026,"267 Marilla Street
Buffalo, NY 14220
(42.83733, -78.82976)"
Casey's Truck Salvage World,5651 Transit Road,,Depew,NY,14043,Erie,9,7166810750,Twin Village Acquisitions; Inc,Private,VDF - registration,[15V50066],Yes,198183,4757375,1 - No accuracy stated,End of Life Vehicles VDFs,15V50066,10/28/2024,10/28/2029,"5651 Transit Road
Depew, NY 14043
(42.90838, -78.69377)"
Zoladz - Lackawanna,1951 Hamburg Turnpike,,Lackawanna,NY,14218,Erie,9,7169376575,Zoladz Construction Co.,Private,CDDHRF - permit,[15CP0057],Yes,184790,4749173,4 - GIS Assisted,,9-1409-00082/00001,10/01/2021,09/30/2031,"1951 Hamburg Turnpike
Lackawanna, NY 14218
(42.82756, -78.85168)"
Lockport Quarry,400 Hinman Road,,Lockport,NY,14094,Niagara,9,,Holcim Quarries NY; Inc.,Private,C&D processing - registration,[32W05],Yes,197907,4784649,,,32W05,04/20/1999,,"400 Hinman Road
Lockport, NY 14094
(43.15253, -78.71348)"
Tom & Paul's Tire Trax; Inc.,1233 East Main Street,,Rochester,NY,14609,Monroe,8,5854822940,Tom Webster,Private,WTHRF - seller - registration,[28W20011],Yes,290319,4781961,4.2 - Utilization of GIS and existing spatial data,Tire,28W20011,03/06/2019,03/05/2024,"1233 East Main Street
Rochester, NY 14609
(43.16107, -77.57917)"
BRIM Auto Recyclers,23 Rte. 211,P.O. Box 347,Cuddebackville,NY,12729,Orange,3,9147547671,Robin Geiger/W Bradley Burnett,Private,Scrap metal processor - registration,[36V30004],Yes,534121,4590400,,Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous,36V30004,02/12/2019,02/11/2023,"23 Rte. 211
Cuddebackville, NY 12729
(41.4642, -74.59145)"
Gallivan Corning Hill Properties,120 Retreat House Rd,,Bethlehem,NY,12077,Albany,4,5182716100,SM Gallivan,Private,CDDHRF - concrete rock brick - registration,[01C12202],Yes,601044,4718354,4.2 - Utilization of GIS and existing spatial data,Brick;Concrete;Rock,01C12202,06/24/2022,06/23/2027,"120 Retreat House Rd
Bethlehem, NY 12077
(42.61256, -73.76946)"
Marsh Creek (C) Digester ATAD,45 Doran Avenue,,Geneva,NY,14456,Ontario,8,3157898040,City of Geneva,Municipal,Composting - biosolids/other - permit,[35PP0022],Yes,338837,4749279,,Biosolids,35PP0022,10/19/2021,10/18/2026,"45 Doran Avenue
Geneva, NY 14456
(42.88118, -76.97247)"
Plan It Waste & Recycling Inc,274 Greenfield Ave,,Ballston Spa,NY,12020,Saratoga,5,5188854100,Plan It Waste & Recycling Inc,Private,RHRF - registration,[46R20012],Yes,593071,4765277,4.1 - Address Matching,Other Aluminum Scrap Metal;Other Ferrous Scrap Metal;Other Non-Ferrous Scrap Metal;Paperboard/Boxboard,46R20012,04/12/2022,04/11/2027,"274 Greenfield Ave
Ballston Spa, NY 12020
(43.03442, -73.8596)"
St. Lawrence County Gouverneur Transfer Station,1831 State Route 11,,Gouverneur,NY,13642,St. Lawrence,6,3152870919,St. Lawrence County Solid Waste Dept.,County,Transfer facility - source separated recyclables - registration,[45T30020],Yes,466486,4913630,4.1 - Address Matching,Single Stream;Electronics;Textiles;Metals (Ferrous & Non-Ferrous),45T30020,11/18/2024,11/17/2029,"1831 State Route 11
Gouverneur, NY 13642
(44.37578, -75.42008)"
Bancroft Enterprises,2647 Co Hwy 16,,Burlington Flats,NY,13315,Otsego,4,5187060879,Jason Bancroft,Private,Scrap metal processor - registration,[39V32001],Yes,490983,4732557,,Scrap Metal - Non-ferrous ;Scrap Metal - Ferrous ;Scrap Metal - Aluminum,39V32001,03/12/2024,03/11/2029,"2647 Co Hwy 16
Burlington Flats, NY 13315
(42.74273, -75.11406)"
Nu Waste LLC,50 Ransier Drive,,West Seneca,NY,14224,Erie,9,7166740019,Nu Waste LLC,Private,Transfer facility - permit,[15TP0011],Yes,193780,4750594,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris;Other - Non-putrescible MSW,9-1468-00244/00001,,,"50 Ransier Drive
West Seneca, NY 14224
(42.84682, -78.74747)"
Oneida-Herkimer Solid Waste Authority - Leland Ave. Ext.,80 Leland Avenue,,Utica,NY,13502,Oneida,6,3157380417,Oneida Herkimer SWA,Municipal,RHRF - greater than 5 tpd - registration,[33R20002],Yes,484432,4772023,,Electronics;Waste Tires;White Goods;Metals (Ferrous);Metals (Non-Ferrous);Single Stream;Paper / Cardboard,33R20002,03/02/2023,09/10/2028,"80 Leland Avenue
Utica, NY 13502
(43.10685, -75.21213)"
Northstar Auto and Salvage; LLC,28722 NYS Route 37,,Evans Mills,NY,13637,Jefferson,6,3156294824,Madeline Shoen,Private,VDF - registration,[23V50009],Yes,429904,4881498,1 - No accuracy stated,End of Life Vehicles VDFs,23V50009,04/04/2024,04/03/2029,"28722 NYS Route 37
Evans Mills, NY 13637
(44.08404, -75.87557)"
Previty's Auto Wrecking; Inc,11075 Galen Hill Road,,Freedom,NY,14065,Cattaraugus,9,7164923936,Previty's Auto Wrecking; Inc.,Private,Scrap metal processor - registration,[05V30007],Yes,223892,4708718,1 - No accuracy stated,Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous ;End of Life Vehicles VDFs,05V30007,11/02/2023,11/02/2028,"11075 Galen Hill Road
Freedom, NY 14065
(42.48106, -78.3586)"
Larchmont/Mamaroneck Joint Garbage Disposal Commission,41 Maxwell Avenue(location),740 West Boston Post Road(mailing),Mamaroneck,NY,10543,Westchester,3,9143817810,Town of Mamaroneck,Municipal,Transfer facility - less than 50 tpd - registration,[60T10017],Yes,604102,4531983,,MSW (Residential/Institutional & Commercial);Container Glass;Commingled Paper;Food Scraps,60T10017,09/21/2023,09/20/2028,"41 Maxwell Avenue(location)
Mamaroneck, NY 10543
(40.93158, -73.76407)"
Town of Day Recycling Center,92 Bovee Road,,Day,NY,12835,Saratoga,5,5186963789,Town of Day,Municipal,RHRF - 5 tpd or less - registration,[46R10030],Yes,579979,4796067,4.3 - Utilization of Digital Orthophoto Quads,Container Glass;Other Aluminum Scrap Metal;Other Ferrous Scrap Metal;Electronics;Plastic;Other Non-Ferrous Scrap Metal,46R10030,04/07/2022,04/06/2027,"92 Bovee Road
Day, NY 12835
(43.3132, -74.01445)"
Sunstream Corporation,6 Spring Forest Avenue,,Binghamton,NY,13905,Broome,7,6077244400,Sunstream Corporation,Private,Transfer facility - permit,[04TP0032],Yes,424108,4662356,4.2 - Utilization of GIS and existing spatial data,Asbestos (Friable & Non-Friable);Asbestos (Non-Friable),7-0302-00080/00006,04/01/2018,03/31/2028,"6 Spring Forest Avenue
Binghamton, NY 13905
(42.10946, -75.91861)"
Clarkson Transfer Station,3078 Redman Road,,Clarkson,NY,14430,Monroe,8,5856371132,Town of Clarkson,Municipal,RHRF - registration,[28R30008],Yes,259343,4793956,4.2.1 - Utilization of GIS and Facility Mapping System,Commingled Containers;Commingled Paper;Container Glass;Other Ferrous Scrap Metal;Other Non-Ferrous Scrap Metal;Aluminum Foil / Trays,28R30008,07/03/2025,07/03/2030,"3078 Redman Road
Clarkson, NY 14430
(43.26021, -77.96653)"
West Hook Sand & Gravel,25 West Hook Road,,Hopewell Junction,NY,12533,Dutchess,3,8458973316,West Hook Sand & Gravel; Inc.,Private,CDDHRF - permit,[14CP0001],Yes,595743,4597182,1 - No accuracy stated,,3-1330-00052/02002,01/13/2009,02/09/2019,"25 West Hook Road
Hopewell Junction, NY 12533
(41.52096, -73.84584)"
Metalico Buffalo Inc.,127 Fillmore Avenue,,Buffalo,NY,14210,Erie,9,7165832720,Metalico Inc.,Private,Scrap metal processor - registration,[15V30015],Yes,186215,4754229,1.1 - Obtained from original submission and unverified process,Scrap Metal - Ferrous ;Scrap Metal - Aluminum ;Scrap Metal - Non-ferrous,15V30015,05/16/2024,05/16/2029,"127 Fillmore Avenue
Buffalo, NY 14210
(42.87652, -78.84212)"
Brownville Transfer Station,18554 Game Farm Road,,Dexter,NY,13634,Jefferson,6,3156396266,Town of Brownville,Municipal,Transfer facility - source separated recyclables - registration,[23T30008],Yes,419405,4873490,1 - No accuracy stated,Metals (Ferrous & Non-Ferrous);Electronics;Paperboard/Boxboard,23T30008,02/13/2024,02/12/2029,"18554 Game Farm Road
Dexter, NY 13634
(44.01139, -76.00388)"
Star Ready Mix Inc,172 Peconic Ave,,Medford,NY,11763,Suffolk,1,6312898787,Star Ready Mix; Inc.,Private,C&D processing - registration,[52W171R],Yes,669547,4520207,4.3 - Utilization of Digital Orthophoto Quads,Asphalt;Soil (Clean);Concrete,52W171R,11/24/2010,,"172 Peconic Ave
Medford, NY 11763
(40.81639, -72.98956)"
Triple T Auto Parts LLC,1209 Balmer Road,,Youngstown,NY,14174,Niagara,9,7167453973,Timothy Haniszewski,Private,VDF - registration,[32V50007],Yes,175755,4794300,1 - No accuracy stated,End of Life Vehicles VDFs,32V50007,10/19/2023,10/19/2028,"1209 Balmer Road
Youngstown, NY 14174
(43.23136, -78.99239)"
Louisville LCD,County Route 39,,Massena,NY,13662,St. Lawrence,6,3157695651,Town of Louisville,Municipal,Landfill - land clearing debris,[45D15],Yes,500656,4968435,,Land Clearing Debris,45D15,06/27/2013,,
Planty's Salvage LLC,13 Planty Drive,,Warrensburg,NY,12885,Warren,5,,Shawn Planty,Private,VDF - small - registration,[57V20014],Yes,597396,4814967,4 - GIS Assisted,End of Life Vehicles VDFs,57V20014,10/16/2019,10/15/2024,"13 Planty Drive
Warrensburg, NY 12885
(43.48033, -73.79549)"
Bistrian Gravel Corp,225 Spring Fireplace Rd.,,East Hampton,NY,11937,Suffolk,1,6313241123,Fireplace Development Corp,Private,C&D processing - permit,[52W18],Yes,737786,4541362,4.3 - Utilization of Digital Orthophoto Quads,Asphalt;Brick;Concrete;Soil (Clean);Rock,1-4724-00001/00006,12/22/2016,12/21/2021,"225 Spring Fireplace Rd.
East Hampton, NY 11937
(40.98797, -72.17317)"
Clifton Recycling Inc,3400 Court Street,,Syracuse,NY,13206,Onondaga,7,3154631170,Clifton Recycling Inc,Private,CDDHRF - storage only- concrete brick rock asphalt pavement - registration,[34C10015],Yes,408950,4770593,,Concrete,34M10015,04/13/2023,05/04/2028,"3400 Court Street
Syracuse, NY 13206
(43.08143, -76.11936)"
Newcomb LCD Lf,69 Hudson River Road,,Newcomb,NY,12852,Essex,5,5185823131,Town of Newcomb,Municipal,Landfill - land clearing debris,[16D08],Yes,569531,4868023,,,16D08,,,"69 Hudson River Road
Newcomb, NY 12852
(43.96222, -74.13467)"
Dolomite Products Company Inc. Bath HMA,7191 Knights Settlement Road,,Bath,NY,14810,Steuben,8,5853817010,Dolomite Products Company Inc,Private,CDDHRF - asphalt pavement and millings - registration,[51C20032],Yes,305737,4691072,1 - No accuracy stated,Asphalt Millings;Asphalt Pavement,51C20032,12/16/2022,12/16/2027,"7191 Knights Settlement Road
Bath, NY 14810
(42.35045, -77.36229)"
Marlborough TS (T),20 Baileys Gap Road,,Milton,NY,12547,Ulster,3,8457952314,Town of Marlborough,Municipal,Transfer station - registration,[56R05],Yes,583689,4615185,,MSW (Residential/Institutional & Commercial);Sewage Treatment Plant Sludge;Commingled Paper & Containers;Corrugated Cardboard;Glass,56R05,,,"20 Baileys Gap Road
Milton, NY 12547
(42.99752, -73.9224)"
Crushmore LLC-Smith's Gravel Pit,7120 Sodus Center Road,,Sodus,NY,14551,Wayne,8,2035507207,Crushmore LLC,Private,CDDHRF - asphalt pavement and millings - registration,[59C20010],Yes,334100,4785100,4.2 - Utilization of GIS and existing spatial data,Asphalt Millings;Asphalt Pavement,59C20010,12/09/2019,12/08/2024,"7120 Sodus Center Road
Sodus, NY 14551
(43.20139, -77.04465)"
110 Sand Company Clean Fill Disposal Site,136 Spagnolli Road,,Melville,NY,11747,Suffolk,1,6316942822,Broad Hollow Estates,Private,Landfill - LI - inside the deep flow recharge - permit,[52LR0351],Yes,631772,4513853,4.2 - Utilization of GIS and existing spatial data,Clean Fill;Construction & Demolition Debris,1-4726-00490/00010,05/14/2021,05/13/2026,"136 Spagnolli Road
Melville, NY 11747
(40.76277, -73.43423)"
ALPCO Recycling; Inc.,846 Macedon Center Road,,Macedon,NY,14502,Wayne,8,3159868900,Alton Plumb,Private,CDDHRF - permit,[59CP0012],Yes,309701,4773743,4.3 - Utilization of Digital Orthophoto Quads,Concrete;Construction & Demolition Debris;Wood (Unadulterated);Metals (Ferrous);Metals (Non-Ferrous);Paper / Cardboard,8-5430-00061/00001,12/17/2020,12/16/2030,"846 Macedon Center Road
Macedon, NY 14502
(43.09426, -77.33675)"
G Frederico Wrecking Co LLC,62 Bickford Street,,Rochester,NY,14615,Monroe,8,,G. Frederico Wrecking Co LLC,Private,CDDHRF - concrete rock brick - registration,[28C10017],Yes,283180,4782910,4.2 - Utilization of GIS and existing spatial data,Concrete,28C10017,05/31/2019,05/30/2024,"62 Bickford Street
Rochester, NY 14615
(43.16739, -77.66739)"
LL Huff Co Inc,4108 Canal Road,,Spencerport,NY,14559,Monroe,8,5853706279,L.L. Huff Co. Inc.,Private,C&D processing - registration,[28W03],Yes,269615,4787071,1 - No accuracy stated,Concrete;Asphalt;Brick;Rock;Soil (Clean),28W03,,,"4108 Canal Road
Spencerport, NY 14559
(43.19943, -77.83553)"
Natural Wood Fiber Organics LLC,8452 Lake Street Road,,LeRoy,NY,14482,Genesee,8,5855910510,Shannon S. Domes,Private,Composting - yard trimmings - registration,[19P10013],Yes,256700,4765603,4.1 - Address Matching,Yard Trimmings,19P10013,07/14/2025,07/14/2030,"8452 Lake Street Road
LeRoy, NY 14482
(43.00379, -77.98214)"
Hammond LCD,Hyde Road,,Hammond,NY,13646,St. Lawrence,6,3153245611,Town of Hammond,Municipal,Landfill - land clearing debris,[45D08],Yes,444877,4923497,1 - No accuracy stated,,45D08,09/22/2011,,
West Sparta TS,8302 Kysorville-Byersville Rd,,Dansville,NY,14437,Livingston,8,5853353138,Town of West Sparta,Municipal,Transfer facility - less than 50 tpd - registration,[26T10028],Yes,271063,4722424,,Commingled Paper & Containers;Metals (Ferrous & Non-Ferrous);Commingled Plastics,26T10028,03/30/2020,03/30/2025,"8302 Kysorville-Byersville Rd
Dansville, NY 14437
(42.62095, -77.79124)"
Contento Recycling LLC,119-1/2 Pendleton Street,,Cortland,NY,13045,Cortland,7,6077538136,Gerald Contento,Private,CDDHRF - permit,[12CP0010],Yes,404112,4716425,3 - Global Positioning System (GPS),,7.1102E+14,02/06/2018,02/05/2028,"119-1/2 Pendleton Street
Cortland, NY 13045
(42.60413, -76.17237)"
Lowman Drop-off Center,1488 County Rte 60,,Lowman,NY,14861,Chemung,8,6077372301,Chemung County,County,Transfer facility - less than 50 tpd - registration,[08T10012],Yes,360714,4654334,,MSW (Residential/Institutional & Commercial);Single Stream,08T10012,01/31/2025,01/30/2030,
Champion's Scrap Metals,2081 County Road 137,,Hector,NY,14841,Seneca,8,6075826485,Ralph Champion Sr.,Private,Scrap metal processor - registration,[50V30001],Yes,350013,4713284,,End of Life Vehicles VDFs,50V30001,09/18/2019,09/18/2024,"2081 County Road 137
Hector, NY 14841
(42.55676, -76.82836)"
Cooper Tank and Welding Corp,222 Maspeth Avenue,,Brooklyn,NY,11211,Kings,2,7183847727,Adrienne Cooper,Private,C&D processing - permit,[24W21],Yes,590039,4507913,,Construction & Demolition Debris;Metals (Ferrous);Metals (Non-Ferrous);Plastics;Paper / Cardboard;Wood (Chips);Concrete,2-6101-00061/00003,11/02/2018,10/28/2020,"222 Maspeth Avenue
Brooklyn, NY 11211
(40.71717, -73.93409)"
Boonville Transfer Site,13680 State Route 12,,Boonville,NY,13309,Oneida,6,3159432055,Village of Boonville,Municipal,Landfill - land clearing debris,[33D17],Yes,473640,4816223,,Tree Debris;Wood (Trees/Stumps),33D17,09/08/2000,,"13680 State Route 12
Boonville, NY 13309
(43.4981, -75.32665)"
Frost Tree & Brush,286 Tidball Road,,Duanesburg,NY,12306,Schenectady,4,,Robert Frost,Private,Landfill - land clearing debris,[47D17],Yes,572069,4739249,1 - No accuracy stated,,47D17,,,"286 Tidball Road
Duanesburg, NY 12306
(42.80293, -74.11875)"
Shelter Island Recycling Transfer Station,34 N Menantic Road,,Shelter Island,NY,11964-1000,Suffolk,1,6317491090,Town of Shelter Island,Municipal,Transfer facility - less than 50 tpd - registration,[52T10282],Yes,722216,4550315,4.3 - Utilization of Digital Orthophoto Quads,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Sand;Emergency Authorization Waste (Storm Debris);Tree Debris;Leaves & Grass;Glass;White Goods;Metals (Ferrous & Non-Ferrous);Commingled Plastics;Electronics;Concrete,52-0282,11/18/2021,11/17/2023,"34 N Menantic Road
Shelter Island, NY 11964-1000
(41.06439, -72.3511)"
City of Auburn Transfer Station,311 N. Division St.,,Auburn,NY,13021,Cayuga,7,3152554180,City of Auburn,,Transfer facility - less than 50 tpd - registration,[06T10031],Yes,370550,4756664,4 - GIS Assisted,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris,06T10031,04/30/2024,07/25/2029,"311 N. Division St.
Auburn, NY 13021
(42.95164, -76.58725)"
